DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
PK201700000057,PK,2017.00000000000,57.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,33.98725420540,71.59714798590,9999.00000000000,9999.00000000000,WGS84
PK201700000058,PK,2017.00000000000,58.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,33.99797658610,71.55224267600,9999.00000000000,9999.00000000000,WGS84
PK201700000059,PK,2017.00000000000,59.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,33.99315614140,71.52692822390,9999.00000000000,9999.00000000000,WGS84
PK201700000060,PK,2017.00000000000,60.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,33.99726346560,71.53823065700,9999.00000000000,9999.00000000000,WGS84
PK201700000061,PK,2017.00000000000,61.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.15663807840,71.45049409070,9999.00000000000,9999.00000000000,WGS84
PK201700000062,PK,2017.00000000000,62.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,34.00892963330,71.54207309150,9999.00000000000,9999.00000000000,WGS84
PK201700000063,PK,2017.00000000000,63.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,33.99597475690,71.52669483640,9999.00000000000,9999.00000000000,WGS84
PK201700000064,PK,2017.00000000000,64.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,R,33.91341027000,72.01761797860,9999.00000000000,9999.00000000000,WGS84
PK201700000065,PK,2017.00000000000,65.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,34.00545407300,71.77901522600,9999.00000000000,9999.00000000000,WGS84
PK201700000066,PK,2017.00000000000,66.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,34.12279261990,71.96055630400,9999.00000000000,9999.00000000000,WGS84
PK201700000067,PK,2017.00000000000,67.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,33.92493350290,72.03903225290,9999.00000000000,9999.00000000000,WGS84
PK201700000068,PK,2017.00000000000,68.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GAZ,U,33.93867652700,71.79907671780,9999.00000000000,9999.00000000000,WGS84
PK201700000069,PK,2017.00000000000,69.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,33.48408989420,71.39955604470,9999.00000000000,9999.00000000000,WGS84
PK201700000070,PK,2017.00000000000,70.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,33.58008714760,71.42828351930,9999.00000000000,9999.00000000000,WGS84
PK201700000071,PK,2017.00000000000,71.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,33.57423045480,71.45847302720,9999.00000000000,9999.00000000000,WGS84
PK201700000072,PK,2017.00000000000,72.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,33.36267541370,70.55397415670,9999.00000000000,9999.00000000000,WGS84
PK201700000073,PK,2017.00000000000,73.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,33.17486427070,71.18659903960,9999.00000000000,9999.00000000000,WGS84
PK201700000074,PK,2017.00000000000,74.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,32.97904264640,70.67904465190,9999.00000000000,9999.00000000000,WGS84
PK201700000075,PK,2017.00000000000,75.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,32.98999559760,70.61470929860,9999.00000000000,9999.00000000000,WGS84
PK201700000076,PK,2017.00000000000,76.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,32.51761630050,70.92122554200,9999.00000000000,9999.00000000000,WGS84
PK201700000077,PK,2017.00000000000,77.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,32.61520646820,70.91641988630,9999.00000000000,9999.00000000000,WGS84
PK201700000078,PK,2017.00000000000,78.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,31.75685043560,70.71765222380,9999.00000000000,9999.00000000000,WGS84
